Name,UserID,Email,Faculty,Password,Profile
ISABELLE,ISA432,ISA432@e.ntu.edu.sg,EEE,password,1
BEN,BEN321,BEN321@e.ntu.edu.sg,SCSE,password,1
LUCY,LUCY098,LUCY098@e.ntu.edu.sg,NBS,password,1
ETHAN,ETH34,ETH34@e.ntu.edu.sg,ADM,password,2
GRACE,GRA09,GRA09@e.ntu.edu.sg,WKW,password,1
NOAH,NOAH567,NOAH567@e.ntu.edu.sg,SCSE,password,1
ALEXANDRA,ALX891,ALX891@e.ntu.edu.sg,ADM,password,1
MICHAEL,MIK345,MIK345@e.ntu.edu.sg,EEE,password,1
MIA,MIA654,MIA654@e.ntu.edu.sg,SCSE,password,1
LIAM,LIM432,LIM432@e.ntu.edu.sg,NBS,password,1
EMILY,EMI23,EMI23@e.ntu.edu.sg,SCSE,password,2
DAVID,DAV890,DAV890@e.ntu.edu.sg,EEE,password,1
CHLOE,CHL678,CHL678@e.ntu.edu.sg,SCSE,password,2
WILLIAM,WIL333,WIL333@e.ntu.edu.sg,NBS,password,1
LILY,LILY111,LILY111@e.ntu.edu.sg,WKW,password,2
LOGAN,LOG998,LOG998@e.ntu.edu.sg,SCSE,password,1
LILIANA,LILY24,LILY24@e.ntu.edu.sg,ADM,password,2
OLIVIA,OLIV456,OLIV456@e.ntu.edu.sg,EEE,password,1
NATHAN,NATH765,NATH765@e.ntu.edu.sg,SCSE,password,1
VICTORIA,VIC234,VIC234@e.ntu.edu.sg,NBS,password,1
ELIJAH,ELI876,ELI876@e.ntu.edu.sg,SCSE,password,2
SOFIA,SOF32,ELI876@e.ntu.edu.sg,ADM,password,1
JACK,JACK56,ELI876@e.ntu.edu.sg,EEE,password,1
EVELYN,EVE543,EVE543@e.ntu.edu.sg,SCSE,password,1
MATTHEW,MAT91,MAT91@e.ntu.edu.sg,ADM,password,2
HARPER,HAR888,HAR888@e.ntu.edu.sg,EEE,password,1
SAMUEL,SAM123,SAM123@e.ntu.edu.sg,SCSE,password,1
ZOE,ZOE234,ZOE234@e.ntu.edu.sg,NBS,password,1
AVERY,AVY987,AVY987@e.ntu.edu.sg,SCSE,password,2
RYAN,RYA432,RYA432@e.ntu.edu.sg,ADM,password,1
ELLA,ELL654,ELL654@e.ntu.edu.sg,EEE,password,1
ANDREW,AND789,AND789@e.ntu.edu.sg,SCSE,password,1
SCARLETT,SCA567,SCA567@e.ntu.edu.sg,NBS,password,1
JACOB,JACO13,JACO13@e.ntu.edu.sg,ADM,password,2
MADISON,MADI22,MADI22@e.ntu.edu.sg,WKW,password,1
LUKE,LUKE333,LUKE333@e.ntu.edu.sg,SCSE,password,1
ARIA,ARI444,ARI444@e.ntu.edu.sg,ADM,password,1
GABRIEL,GAB111,GAB111@e.ntu.edu.sg,EEE,password,1
HANNAH,HAN654,HAN654@e.ntu.edu.sg,SCSE,password,1
DYLAN,DYL432,HAN654@e.ntu.edu.sg,NBS,password,1
MILA,MIL555,MIL555@e.ntu.edu.sg,WKW,password,2
CHRISTOPHER,CHRIS34,CHRIS34@e.ntu.edu.sg,EEE,password,1
AUBREY,AUB678,AUB678@e.ntu.edu.sg,SCSE,password,2
JAXON,JAX123,JAX123@e.ntu.edu.sg,NBS,password,1
CLAIRE,CLAIRE12,CLAIRE12@e.ntu.edu.sg,WKW,password,1
ANTHONY,ANT67,ANT67@e.ntu.edu.sg,SCSE,password,1
ELEANOR,ELE890,ELE890@e.ntu.edu.sg,ADM,password,1
LUCAS,LUC89,LUC89@e.ntu.edu.sg,EEE,password,2
PENNY,PEN43,PEN43@e.ntu.edu.sg,SCSE,password,1
GABRIELLA,GAB456,GAB456@e.ntu.edu.sg,NBS,password,1
JOSEPH,JOSE10,JOSE10@e.ntu.edu.sg,SCSE,password,2
MAYA,MAY678,MAY678@e.ntu.edu.sg,EEE,password,2
HARVEY,HAR56,HAR56@e.ntu.edu.sg,SCSE,password,2
NOELLE,NLE111,NLE111@e.ntu.edu.sg,SCSE,password,1
MAXWELL,MWL222,MWL222@e.ntu.edu.sg,ADM,password,2
HAZEL,HZL333,HZL333@e.ntu.edu.sg,EEE,password,2
AUGUST,AUG444,AUG444@e.ntu.edu.sg,SCSE,password,1
SERENA,SER555,SER555@e.ntu.edu.sg,NBS,password,2
FELIX,FLX666,FLX666@e.ntu.edu.sg,WKW,password,1
GEMMA,GMA777,GMA777@e.ntu.edu.sg,ADM,password,1
THEODORE,TDR888,TDR888@e.ntu.edu.sg,EEE,password,2
OPAL,OPA999,OPA999@e.ntu.edu.sg,SCSE,password,1
WYATT,WYT1010,WYT1010@e.ntu.edu.sg,NBS,password,2
ROSALIE,RSLE1111,RSLE1111@e.ntu.edu.sg,ADM,password,2
EMMETT,EMMT1212,EMMT1212@e.ntu.edu.sg,WKW,password,1
NORA,NRA1313,NRA1313@e.ntu.edu.sg,SCSE,password,1
LANDON,LND1414,LND1414@e.ntu.edu.sg,ADM,password,1
ZARA,ZRA1515,ZRA1515@e.ntu.edu.sg,EEE,password,2
XANDER,XDR1616,XDR1616@e.ntu.edu.sg,SCSE,password,1
ELORA,ELR1717,ELR1717@e.ntu.edu.sg,NBS,password,2
LION,LI1337,LI1337@e.ntu.edu.sg,SCSE,password,2
